feature,enable,disable
JUST_INSTALL_CEREAL,JUST_INSTALL_CEREAL:BOOL=ON,JUST_INSTALL_CEREAL:BOOL=OFF
SKIP_PORTABILITY_TEST,SKIP_PORTABILITY_TEST:BOOL=ON,SKIP_PORTABILITY_TEST:BOOL=OFF
THREAD_SAFE,THREAD_SAFE:BOOL=ON,THREAD_SAFE:BOOL=OFF
USE_PI_ZERO,USE_PI_ZERO:BOOL=ON,USE_PI_ZERO:BOOL=OFF
USE_RTAUDIO,USE_RTAUDIO:BOOL=ON,USE_RTAUDIO:BOOL=OFF
USE_WEBSOCKET,USE_WEBSOCKET:BOOL=ON,USE_WEBSOCKET:BOOL=OFF
WITH_WERROR,WITH_WERROR:BOOL=ON,WITH_WERROR:BOOL=OFF
