feature,enable,disable
BUILD_EXAMPLES,BUILD_EXAMPLES:BOOL=ON,BUILD_EXAMPLES:BOOL=OFF
BUILD_TESTS,BUILD_TESTS:BOOL=ON,BUILD_TESTS:BOOL=OFF
ENABLE_CPP11,ENABLE_CPP11:BOOL=ON,ENABLE_CPP11:BOOL=OFF
